State Name,Date,AQI,Category,Defining Parameter,Latitude,Longitude,County Name
Hawaii,1980-03-12,32,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-13,31,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-14,22,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-15,28,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-16,32,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-17,29,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-18,21,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-19,20,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-20,26,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-21,24,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-22,22,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-23,27,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-24,34,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-25,32,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-26,28,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-27,11,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-28,28,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-29,26,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-30,26,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-31,22,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-01,0,Good,CO,21.390861,-157.96525,Honolulu
Hawaii,1980-04-02,21,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-03,21,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-04,22,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-05,22,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-06,20,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-07,10,Good,CO,21.390861,-157.96525,Honolulu
Hawaii,1980-04-08,17,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-09,15,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-11,26,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-12,34,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-13,34,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-14,32,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-15,30,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-16,15,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-17,13,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-18,11,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-19,13,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-20,20,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-21,20,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-22,17,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-23,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-24,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-25,21,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-26,26,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-27,29,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-28,24,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-29,23,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-04-30,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-01,15,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-02,11,Good,CO,21.390861,-157.96525,Honolulu
Hawaii,1980-05-03,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-04,20,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-05,20,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-06,21,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-07,25,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-08,31,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-09,27,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-10,28,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-11,29,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-12,25,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-13,25,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-14,17,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-15,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-16,18,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-17,20,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-18,21,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-19,25,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-05-20,25,Good,Ozone,21.390861,-157.96525,Honolulu
