,title,signed_on,url,summary,categories,tags
23,"Executive Order No. 158, s. 2021","December 27, 2021",https://www.officialgazette.gov.ph/2021/12/27/executive-order-no-158-s-2021/,"MALACAÑAN PALACE MANILA BY THE PRESIDENT OF THE PHILIPPINES EXECUTIVE ORDER NO. 158 STRENGTHENING THE POLICY FRAMEWORK ON PEACE, RECONCILIATION AND UNITY, AND REORGANIZING THE GOVERNMENT’S ADMINISTRATIVE STRUCTURE FOR THE PURPOSE","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
24,"Executive Order No. 157, s. 2021","December 16, 2021",https://www.officialgazette.gov.ph/2021/12/16/executive-order-no-157-s-2021/,MALACAÑAN PALACE MANILA BY THE PRESIDENT OF THE PHILIPPINES EXECUTIVE ORDER NO. 157 REDUCTION AND CONDONATION OF REAL PROPERTY TAXES AND INTEREST/PENALTIES ASSESSED ON THE POWER GENERATION FACILITIES OF INDEPENDENT POWER PRODUCERS UNDER BUILD-OPERATE-TRANSFER CONTRACTS WITH GOVERNMENT-OWNED OR -CONTROLLED CORPORATIONS,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
25,"Executive Order No. 156, s. 2021","December 9, 2021",https://www.officialgazette.gov.ph/2021/12/09/executive-order-no-156-s-2021/,"INSTITUTING MEASURES TO ENSURE CONSISTENT AND RELIABLE ELECTRICITY SERVICE IN INADEQUATELY SERVED AREAS, IMPROVE PERFORMANCE OF INEFFECTIVE DISTRIBUTION UTILITIES, AND ACHIEVE TOTAL ELECTRIFICATION OF THE COUNTRY","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
26,"Executive Order No. 155, s. 2021","December 7, 2021",https://www.officialgazette.gov.ph/2021/12/07/executive-order-no-155-s-2021/,FURTHER IMPROVING ACCESS TO HEALTHCARE THROUGH THE REGULATION OF PRICES IN THE RETAIL OF DRUGS AND MEDICINES,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
27,"Executive Order No. 154, s. 2021","December 7, 2021",https://www.officialgazette.gov.ph/2021/12/07/executive-order-no-154-s-2021/,"MALACAÑAN PALACE MANILA BY THE PRESIDENT OF THE PHILIPPINES EXECUTIVE ORDER NO. 154 DIRECTING THE ESTABLISHMENT OF THE OVERSEAS FILIPINO WORKERS (OFW) HOSPITAL, CREATING THE INTER-AGENCY COMMITTEE ON THE OFW HOSPITAL, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
28,"Executive Order No. 153, s. 2021","December 6, 2021",https://www.officialgazette.gov.ph/2021/12/06/executive-order-no-153-s-2021/,ADJUSTING THE DIVIDEND RATE OF THE PHILIPPINE GUARANTEE CORPORATION PURSUANT TO SECTION 5 OF REPUBLIC ACT NO. 7656,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
29,"Executive Order No. 152, s. 2021","December 6, 2021",https://www.officialgazette.gov.ph/2021/12/06/executive-order-no-152-s-2021/,"FURTHER AMENDING EXECUTIVE ORDER (EO) NO. 17 (S. 2017) AND EO NO. 55 (S. 2018), TO CHANGE THE RENDERING OF THE NAME OF THE FILIPINO HERO FROM “LAPU-LAPU” TO “LAPULAPU”","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
30,"Executive Order No. 151, s. 2021","November 11, 2021",https://www.officialgazette.gov.ph/2021/11/11/executive-order-no-151-s-2021/,APPROVING THE NATIONWIDE IMPLEMENTATION OF THE ALERT LEVEL SYSTEM FOR COVID-19 RESPONSE,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
31,"Executive Order No. 150, s. 2021","October 1, 2021",https://www.officialgazette.gov.ph/2021/10/01/executive-order-no-150-s-2021/,"APPROVING THE COMPENSATION AND POSITION CLASSIFICATION SYSTEM (CPCS) AND INDEX OF OCCUPATIONAL SERVICES, POSITION TITLES, AND JOB GRADES FOR GOCCS (IOS-G) FRAMEWORK, REPEALING EXECUTIVE ORDER NO. 203 (s. 2016), AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
32,"Executive Order No. 149, s. 2021","September 27, 2021",https://www.officialgazette.gov.ph/2021/09/27/executive-order-no-149-s-2021/,TRANSFERRING THE METROPOLITAN WATERWORKS AND SEWERAGE SYSTEM FROM THE DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS TO THE OFFICE OF THE PRESIDENT,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
